date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:35	528781/528781	---MCZ	200	added ('OK')	text/html	etag:W/%226319cecb-8118d%22	https://htmldemo.net/hiraola/hiraola/index-2.html	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/index-2.html	(from )
14:14:35	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2007:14:35%20GMT	https://htmldemo.net/robots.txt		(from )
14:14:36	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226319cee0-47e%22	https://htmldemo.net/hiraola/hiraola/assets/images/favicon.ico	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/images/favicon.ico	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:36	195457/195457	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced4-2fb81%22	https://htmldemo.net/hiraola/hiraola/assets/css/bootstrap.min.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/bootstrap.min.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:36	51166/51166	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced4-c7de%22	https://htmldemo.net/hiraola/hiraola/assets/css/font-awesome.min.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/font-awesome.min.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:36	1021/1021	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced3-3fd%22	https://htmldemo.net/hiraola/hiraola/assets/css/fontawesome-stars.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/fontawesome-stars.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:37	51293/51293	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced4-c85d%22	https://htmldemo.net/hiraola/hiraola/assets/css/ionicons.min.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/ionicons.min.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:37	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced5-52f%22	https://htmldemo.net/hiraola/hiraola/assets/css/slick.min.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/slick.min.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:38	57997/57997	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced4-e28d%22	https://htmldemo.net/hiraola/hiraola/assets/css/animate.min.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/animate.min.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
14:14:38	30635/30635	---MCZ	200	added ('OK')	text/css	etag:W/%226319ced4-77ab%22	https://htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css	C:/Users/quoct/Desktop/new123/shop/htmldemo.net/hiraola/hiraola/assets/css/jquery-ui.min.css	(from https://htmldemo.net/hiraola/hiraola/index-2.html)
